age;Lo;Mo;So;Lu;Mu;Su
0,6;-9,54188;1,06274;0,01683;-10,34901;2,9521;0,01722
0,7;-9,54251;1,06272;0,01683;-10,33299;2,95331;0,0173
0,8;-9,54288;1,06271;0,01683;-10,31643;2,95455;0,01738
0,9;-9,54324;1,0627;0,01682;-10,29953;2,95583;0,01747
1;-9,54387;1,06268;0,01682;-10,28239;2,95712;0,01756
1,1;-9,54505;1,06265;0,01681;-10,26536;2,9584;0,01764
1,2;-9,54678;1,0626;0,0168;-10,24888;2,95964;0,01773
1,3;-9,54903;1,06253;0,01679;-10,23316;2,96083;0,01781
1,4;-9,55195;1,06245;0,01677;-10,21826;2,96195;0,01789
1,5;-9,55587;1,06234;0,01674;-10,20439;2,963;0,01796
1,6;-9,56069;1,06221;0,01671;-10,19153;2,96396;0,01803
1,7;-9,5659;1,06206;0,01668;-10,17934;2,96488;0,01809
1,8;-9,57099;1,06191;0,01665;-10,16774;2,96575;0,01815
1,9;-9,5754;1,06179;0,01662;-10,15669;2,96659;0,01821
2;-9,57922;1,06168;0,0166;-10,14601;2,96739;0,01827
2,1;-9,58175;1,06161;0,01658;-10,13581;2,96816;0,01832
2,2;-9,58301;1,06157;0,01657;-10,12599;2,96889;0,01837
2,3;-9,58296;1,06157;0,01657;-10,11651;2,96961;0,01842
2,4;-9,58139;1,06162;0,01658;-10,10716;2,97031;0,01847
2,5;-9,57849;1,0617;0,0166;-10,09806;2,97099;0,01852
2,6;-9,57424;1,06182;0,01663;-10,08947;2,97163;0,01857
2,7;-9,56924;1,06196;0,01666;-10,0813;2,97225;0,01861
2,8;-9,56305;1,06214;0,0167;-10,07428;2,97277;0,01865
2,9;-9,55599;1,06234;0,01674;-10,06827;2,97322;0,01868
3;-9,54812;1,06256;0,01679;-10,06264;2,97365;0,01871
3,1;-9,53881;1,06282;0,01685;-10,05663;2,9741;0,01875
3,2;-9,52806;1,06312;0,01692;-10,04969;2,97462;0,01878
